exit_structure,subperiod,n_trades,mean,median,pct_positive,std,sharpe,skew,min,max,p25,p75,sp_start,sp_end
S1,SP1,5,0.013375342465753417,-0.006493150684931507,0.4,0.1257382200495727,0.8662556385992809,0.1944275658570483,-0.10715068493150685,0.14367123287671235,-0.1066575342465754,0.1435068493150685,2024-03-15,2024-10-31
S1,SP2,18,0.004681887366818833,-0.10616438356164387,0.4444444444444444,0.1280717975982597,0.3591327824209184,0.2444416294072338,-0.10747945205479467,0.14383561643835624,-0.10632876712328784,0.1438356164383562,2024-11-01,2025-06-30
S1,SP3,18,0.018260273972602707,0.018506849315068463,0.5,0.1288249690051055,1.0607212176607952,-0.0001790657402624401,-0.11043835616438367,0.14383561643835613,-0.10616438356164395,0.14334246575342474,2025-07-01,2026-03-15
S2,SP1,5,-0.03898630136986305,-0.12665753424657533,0.2,0.13991483348992093,-1.8058136057908865,1.5954953717719216,-0.12780821917808227,0.19317808219178081,-0.12715068493150697,-0.006493150684931507,2024-03-15,2024-10-31
S2,SP2,18,0.033333333333333263,0.03252054794520537,0.5,0.16476232726365433,1.594762153105985,2.527049240879802e-05,-0.12747945205479466,0.1938356164383562,-0.1266986301369864,0.19383561643835612,2024-11-01,2025-06-30
S2,SP3,18,0.05082800608827996,0.19227397260273965,0.5555555555555556,0.16369400026643788,2.0506434948837233,-0.24455355585062646,-0.13043835616438365,0.19367123287671226,-0.12616438356164403,0.19317808219178081,2025-07-01,2026-03-15
S3,SP1,5,0.03219178082191783,-0.006493150684931507,0.4,0.20092103741622497,0.7668731247359993,0.2351162323208819,-0.15797260273972602,0.2421917808219178,-0.15780821917808208,0.24104109589041095,2024-03-15,2024-10-31
S3,SP2,18,0.06537290715372912,0.24071232876712328,0.5555555555555556,0.20450123831526548,2.2325279521701313,-0.24441057030118216,-0.15747945205479436,0.24383561643835616,-0.15661643835616423,0.24383561643835616,2024-11-01,2025-06-30
S3,SP3,18,0.042639269406392746,0.04202739726027403,0.5,0.20568044427170687,1.1438264678118484,-1.4907118604225567e-05,-0.16043835616438348,0.24367123287671233,-0.15641095890410953,0.2431780821917808,2025-07-01,2026-03-15
