symbol,total_days,strict_toxic_days,relaxed_toxic_days,strict_pct,relaxed_pct
WIF-USD,731,26,267,0.03556771545827633,0.3652530779753762
BONK-USD,731,54,268,0.07387140902872777,0.36662106703146374
JTO-USD,731,20,212,0.027359781121751026,0.29001367989056087
PYTH-USD,731,29,258,0.03967168262653899,0.35294117647058826
ORCA-USD,731,22,257,0.030095759233926128,0.35157318741450067
RENDER-USD,731,27,216,0.036935704514363885,0.2954856361149111
JUP-USD,731,54,329,0.07387140902872777,0.45006839945280436
KMNO-USD,685,5,200,0.0072992700729927005,0.291970802919708
FARTCOIN-USD,509,28,213,0.0550098231827112,0.41846758349705304
ZEREBRO-USD,471,58,232,0.12314225053078556,0.49256900212314225
BOME-USD,731,34,296,0.046511627906976744,0.4049247606019152
CLOUD-USD,112,15,52,0.13392857142857142,0.4642857142857143
TNSR-USD,707,54,277,0.07637906647807638,0.3917963224893918
W-USD,731,31,271,0.04240766073871409,0.3707250341997264
MNDE-USD,731,24,250,0.03283173734610123,0.34199726402188785
CHILLGUY-USD,470,27,227,0.0574468085106383,0.4829787234042553
ACT-USD,731,76,307,0.1039671682626539,0.41997264021887826
TRUMP-USD,706,50,253,0.0708215297450425,0.358356940509915
PNUT-USD,497,48,224,0.096579476861167,0.4507042253521127
GOAT-USD,731,61,323,0.08344733242134063,0.4418604651162791
AI16Z-USD,478,88,291,0.18410041841004185,0.608786610878661
VIRTUAL-USD,731,31,274,0.04240766073871409,0.3748290013679891
AIXBT-USD,471,46,211,0.09766454352441614,0.44798301486199577
